bookName,author,email,id,authorUrl,pmUrl,bookUrl,followerCount,pageCount,viewCount,chaptersCount,lastUpdateDate,dataCollectionDate,actionPlanned
HeavenXHeaven,Kyle Pham,,32399,https://www.royalroad.com/profile/160938,https://www.royalroad.com/private/send/160938,https://www.royalroad.com/fiction/32399/heavenxheaven,0,0,13,1,MAY112020,15 Jun 2020 13:52:32 GMT,PM
Silverlining,Drchoudhry,,32526,https://www.royalroad.com/profile/165970,https://www.royalroad.com/private/send/165970,https://www.royalroad.com/fiction/32526/silverlining,0,0,15,1,MAY162020,15 Jun 2020 13:52:32 GMT,
Eat,Ivan829,,32513,https://www.royalroad.com/profile/157872,https://www.royalroad.com/private/send/157872,https://www.royalroad.com/fiction/32513/eat,0,0,57,1,MAY152020,15 Jun 2020 13:52:32 GMT,
Tachyon,umm this is fred,,32925,https://www.royalroad.com/profile/165345,https://www.royalroad.com/private/send/165345,https://www.royalroad.com/fiction/32925/tachyon,0,0,20,1,MAY312020,15 Jun 2020 13:52:32 GMT,
EVA,Apocalyptic Kitty,,33183,https://www.royalroad.com/profile/169813,https://www.royalroad.com/private/send/169813,https://www.royalroad.com/fiction/33183/eva,0,0,12,1,JUNE092020,15 Jun 2020 13:52:32 GMT,
Down deeper,ShadowTitan 22,,32711,https://www.royalroad.com/profile/116680,https://www.royalroad.com/private/send/116680,https://www.royalroad.com/fiction/32711/down-deeper,0,0,28,1,MAY232020,15 Jun 2020 13:52:32 GMT,
Love Your Enemy,Bird Sandwich,,33210,https://www.royalroad.com/profile/121278,https://www.royalroad.com/private/send/121278,https://www.royalroad.com/fiction/33210/love-your-enemy,0,0,28,1,JUNE102020,15 Jun 2020 13:52:32 GMT,
Arcano Sanctorum,TwayneJustice,,33051,https://www.royalroad.com/profile/162251,https://www.royalroad.com/private/send/162251,https://www.royalroad.com/fiction/33051/arcano-sanctorum,0,6,6,1,JUNE042020,15 Jun 2020 13:52:32 GMT,
Annaldra,Posymauve,,33129,https://www.royalroad.com/profile/165533,https://www.royalroad.com/private/send/165533,https://www.royalroad.com/fiction/33129/annaldra,2,313,234,18,JUNE082020,15 Jun 2020 13:52:32 GMT,
The Last Prince,DeclanBoon,,32443,https://www.royalroad.com/profile/165446,https://www.royalroad.com/private/send/165446,https://www.royalroad.com/fiction/32443/the-last-prince,2,219,543,10,MAY292020,15 Jun 2020 13:52:32 GMT,
Always and Forever,sushy77,,31424,https://www.royalroad.com/profile/159325,https://www.royalroad.com/private/send/159325,https://www.royalroad.com/fiction/31424/always-and-forever,1,77,1993,25,MAY082020,15 Jun 2020 13:52:32 GMT,PM Sent
I Want You to Remember Me,Falcolas,,32574,https://www.royalroad.com/profile/128028,https://www.royalroad.com/private/send/128028,https://www.royalroad.com/fiction/32574/i-want-you-to-remember-me,1,28,671,10,MAY232020,15 Jun 2020 13:52:32 GMT,
The Eclipse: What really happens to those who dissapear,DJ Umber,,32497,https://www.royalroad.com/profile/165361,https://www.royalroad.com/private/send/165361,https://www.royalroad.com/fiction/32497/the-eclipse-what-really-happens-to-those-who-dissapear,1,12,43,1,MAY142020,15 Jun 2020 13:52:32 GMT,PM Sent
Talius,Kyyu3099,,32478,https://www.royalroad.com/profile/162503,https://www.royalroad.com/private/send/162503,https://www.royalroad.com/fiction/32478/talius,0,39,298,9,MAY312020,15 Jun 2020 13:52:32 GMT,PM Sent
How to Join a Cult,crocbus,,32986,https://www.royalroad.com/profile/168726,https://www.royalroad.com/private/send/168726,https://www.royalroad.com/fiction/32986/how-to-join-a-cult,0,38,235,9,JUNE062020,15 Jun 2020 13:52:32 GMT,
I Never Left Without Saying Goodbye,13496 22485,,32473,https://www.royalroad.com/profile/115089,https://www.royalroad.com/private/send/115089,https://www.royalroad.com/fiction/32473/i-never-left-without-saying-goodbye,0,38,148,7,MAY142020,15 Jun 2020 13:52:32 GMT,PM Sent
The Humanity Reclamation Project,DJ Umber,,32531,https://www.royalroad.com/profile/165361,https://www.royalroad.com/private/send/165361,https://www.royalroad.com/fiction/32531/the-humanity-reclamation-project,0,17,53,2,MAY172020,15 Jun 2020 13:52:32 GMT,PM Sent
Sharon's Job.,May G.,,32997,https://www.royalroad.com/profile/165599,https://www.royalroad.com/private/send/165599,https://www.royalroad.com/fiction/32997/sharons-job,0,9,16,1,JUNE032020,15 Jun 2020 13:52:32 GMT,
Mother of Learning,nobody103,,100374,https://www.royalroad.com/profile/100374,https://www.royalroad.com/private/send/100374,https://www.royalroad.com/fiction/21220/mother-of-learning,,,,,,15 Jun 2020 13:52:32 GMT,
Super Minion,Gogglesbear,,65732,https://www.royalroad.com/profile/65732,https://www.royalroad.com/private/send/65732,https://www.royalroad.com/fiction/21410/super-minion,,,,,,15 Jun 2020 13:52:32 GMT,
RE: Trailer Trash,FortySixtyFour,,93390,https://www.royalroad.com/profile/93390,https://www.royalroad.com/private/send/93390,https://www.royalroad.com/fiction/21322/re-trailer-trash,,,,,,15 Jun 2020 13:52:32 GMT,
Vainqueur the Dragon,Void Herald,,107213,https://www.royalroad.com/profile/107213,https://www.royalroad.com/private/send/107213,https://www.royalroad.com/fiction/26534/vainqueur-the-dragon,,,,,,15 Jun 2020 13:52:32 GMT,
